# RS;CS;LS;MS;PS
4.928930721354962685e-01;5.651933476175897697e-01;5.462315069890828489e-01;5.000000000000000000e-01;5.959820426487092426e-01
5.328670082423702103e-01;5.995756293161061956e-01;5.736310982401429115e-01;5.000000000000000000e-01;5.520962352417017049e-01
5.387828422122223904e-01;5.718674698795181977e-01;5.900529830164029654e-01;5.020735955871679090e-01;5.974684279285817912e-01
5.060279667422525884e-01;5.957401108591583450e-01;6.393543713781810744e-01;5.717157974300831613e-01;5.971312043335850195e-01
4.638110207100592519e-01;6.219706915680475179e-01;6.565241309171595541e-01;5.686307322485205651e-01;6.033385724852072807e-01
4.948710573298948923e-01;5.989972227732589527e-01;5.925362031342988889e-01;5.306020630827216200e-01;5.556219004165839914e-01
5.102673300725247829e-01;6.162076235452859096e-01;5.894358239163434154e-01;4.787063585764885221e-01;5.111317254174395641e-01
5.132875972580396295e-01;5.602992131190900338e-01;5.464926491657297047e-01;5.813879521259006644e-01;5.443786506204678632e-01
5.165039062499999778e-01;5.818457031249999467e-01;5.789702690972222676e-01;5.540104166666667274e-01;5.504920789930556335e-01
4.767755000000001298e-01;6.036915000000001585e-01;5.976560000000001871e-01;5.265124999999997168e-01;6.003155000000000019e-01
4.927606335514573832e-01;5.435083283759667427e-01;5.148434711481258974e-01;5.422109235574061881e-01;5.177740184414040270e-01
5.115056610664717729e-01;6.074506939371804304e-01;5.940869247626004990e-01;5.771621621621619846e-01;5.879401022644263897e-01
5.072349999999997694e-01;5.800965000000001259e-01;5.759315000000000406e-01;5.545575000000000365e-01;5.357999999999997209e-01
5.254123898079943178e-01;5.118131868131867712e-01;5.940786136939982809e-01;5.550301895906293304e-01;5.787688684941433293e-01
4.953385583590700358e-01;5.539039100285531037e-01;6.217175572519085813e-01;5.770368859623564717e-01;5.601820989452829247e-01
4.821486928104578018e-01;5.904579969242600423e-01;5.842200115340253630e-01;5.412600922722030639e-01;6.116724336793540884e-01
5.178142857142857824e-01;6.775571428571426358e-01;6.868642857142859270e-01;5.510897959183674866e-01;6.227061224489796043e-01
4.719874149659863405e-01;6.081105442176871767e-01;5.666128117913831197e-01;5.238640589569163453e-01;5.499427437641721816e-01
4.896984856679286735e-01;7.009721471065439857e-01;6.615251487290427779e-01;4.893516765819361791e-01;5.913514061654948639e-01
4.923826241271556103e-01;5.686690328305232800e-01;6.183933876007869923e-01;6.367360441340998989e-01;6.002198989236527948e-01
5.421633873456787045e-01;5.085262345679012475e-01;5.751466049382716328e-01;5.000000000000000000e-01;5.119608410493826645e-01
4.968809349890432880e-01;5.611249086924761098e-01;6.227136596055514728e-01;5.000000000000000000e-01;5.791800584368150817e-01
4.970318735559757228e-01;6.072274732199118841e-01;5.911465553455158561e-01;6.552769901281243481e-01;6.098952425960930679e-01
4.723527721918989730e-01;4.700100545820167230e-01;6.158977305372020927e-01;5.561548405630565295e-01;6.266992243608159319e-01
4.793480725623585070e-01;5.637868480725621856e-01;5.726622732426304152e-01;5.841921768707483142e-01;5.284828514739230432e-01
