# RS;CS;LS;MS;PS
2.864409961155976736e-02;7.306580816534647971e-01;3.701451295472908964e-01;5.255737300737963746e-01;2.701285511074663082e-01
5.589354311215651711e-02;6.651511895214329284e-01;4.249725937258307384e-01;7.315679261728114113e-01;4.199406188308211219e-01
-3.035181916948569668e-03;4.932638684076209867e-01;2.136208019929833613e-01;-2.134340184569208931e-01;7.462356198477337887e-01
8.972083575591625892e-02;3.957064323163787534e-01;5.341472937769131679e-01;6.587476419797398675e-02;4.133492709671786614e-01
-6.679400370894732208e-02;3.731613684528550245e-01;3.871446000006780186e-01;1.567092444653110650e-02;1.585592786172396740e-01
-8.358142419167562120e-02;5.444694066598406712e-01;6.912671201716956704e-01;3.946854731339148881e-01;4.973345972384885516e-01
-1.232335266239539540e-01;8.735233267783648614e-01;6.580331467672853041e-01;2.606065298061468472e-01;5.509258211831952190e-01
-6.765121958880979114e-02;1.822610992027152432e-01;5.712013166962793820e-01;7.530000025565442012e-02;4.410303122971562240e-01
-4.642886242499508903e-03;5.510901609137087986e-02;4.760586968950012432e-01;5.689170728966110868e-01;5.984991510669294967e-02
-8.652330158518894976e-02;-6.693599007573977633e-02;2.223030803582048964e-01;7.830911073070636608e-01;2.862455729806155369e-01
-7.526745561417215458e-02;6.672714190915821630e-01;8.372177693661387865e-01;3.555998499112987266e-01;5.099002515275117275e-01
1.516742321430701868e-01;6.288227503731542711e-01;6.334403914708969241e-01;6.205273823547371448e-01;3.579129022090252743e-01
7.019740303981623908e-02;9.193570757139328808e-01;9.604689233992800279e-01;6.078175726531079848e-01;4.882108221919619351e-01
7.424779257095835694e-02;6.618875417115611670e-01;6.873091964196069714e-01;6.786513438075999494e-01;3.540933658081391044e-01
-1.069444957355856762e-01;-1.076602317381930270e-03;1.718298403952455977e-01;0.000000000000000000e+00;4.105333727109435338e-01
1.212294776594578238e-01;4.721760384205188621e-01;3.786301625162498685e-01;8.438471919444522074e-02;5.384387218441631928e-01
-5.963626374158433052e-02;4.639913774168222815e-01;1.644783619003426234e-01;2.844083945858129070e-01;2.401518378563115008e-01
-7.983450206610834265e-02;7.580208633139779995e-01;1.248714509702295139e+00;5.660809929744916591e-01;4.646726192560084456e-01
3.471701975147376690e-02;8.971735973042493928e-01;8.732710887907747521e-01;3.272861457023445997e-01;6.589010448917301810e-01
-3.247601535570386611e-02;9.419782374671286096e-01;8.813117002484053275e-01;3.352107230089587664e-01;6.436024825082461431e-01
-8.252743201043315213e-02;7.335546428792978357e-01;2.905462231860589384e-01;2.761206879834072758e-01;4.817506953276278203e-01
-4.087674006599693877e-02;7.420851418839038427e-01;7.778183980169004474e-01;0.000000000000000000e+00;8.511739027031307581e-01
-8.019469408937041077e-02;-9.972762793732481423e-02;6.104979409494343257e-01;0.000000000000000000e+00;1.875299434924825037e-01
-7.379606680723493906e-02;7.265237420470549434e-01;5.003750638032282705e-01;5.210923045619874072e-01;4.027294678546576856e-01
-1.004828618443364373e-02;-1.533782698903522757e-01;5.225616242139926593e-01;1.350333959703980680e-01;4.308723863637223261e-01
1.671090199255934605e-01;4.667983473329286870e-01;3.090841997490210158e-01;-5.000000000000000000e-01;4.576996560595707475e-01
7.565061909649187233e-02;1.527350927404759640e+00;1.244117575677461618e+00;4.531211241077252594e-01;4.947785853451940330e-01
-1.107542763441585892e-01;7.389256689609616791e-01;6.880070389690499111e-01;0.000000000000000000e+00;6.599459188773862950e-01
-8.729731026383590053e-02;8.313547370832015115e-01;1.043400352607025461e+00;4.439420514618305225e-01;2.627301939200479830e-01
1.278225846341039286e-02;9.930429968052300049e-01;1.101448598917531996e+00;2.704842266559809305e-01;3.202864020161370062e-01
2.135923257235307696e-02;9.120993476791516841e-01;9.643548035247195838e-01;1.913470193835828670e-01;5.225249705248369292e-01
2.982061725976839495e-02;3.183531336410098112e-01;5.568551817633881074e-01;2.538602373981509452e-01;2.301708196312049134e-02
1.648076990627493632e-02;2.190977065925787115e-01;5.311022976363568571e-01;-1.473281385944610611e-01;5.498144304109171820e-02
1.536524628207456590e-02;1.756875944458423378e-01;2.282655704824073650e-01;-5.903764291517995394e-02;9.310878430366113789e-02
8.416891916198353252e-02;2.135840526181291832e-01;3.232663728221282229e-01;-4.167578194797261562e-03;5.021027553312753383e-02
-1.765510357451337492e-03;3.033780587051058686e-01;5.633987590826808889e-01;3.422102073583525028e-01;1.298021143097053132e-01
2.994455427051350913e-02;3.218751250443096512e-01;1.859094575272300376e-01;-1.507830553868805545e-01;-9.884707199938645023e-03
-5.780616156711137696e-03;1.549426732820681218e-01;3.834144568871301062e-01;-1.369891978016821443e-01;8.734711478226932224e-02
1.501004461948802181e-02;2.367235405806415172e-01;3.703144030725446512e-01;-9.174267525676015056e-02;7.260636529861715094e-02
-1.548844486917552027e-02;1.807341959476006787e-01;2.058161065444648885e-01;-7.574291587212651777e-02;1.023981254648739375e-01
3.790082949685862068e-02;3.992908434011522845e-01;5.093600901585897400e-01;4.430626193000045425e-04;1.811444620015542351e-01
4.260847737312846439e-02;8.807400564157649714e-02;1.939778569895867499e-01;-8.011405368009200459e-03;8.826795537351643517e-02
-3.902580551632452155e-02;8.522580462038446825e-02;2.856836990471776638e-01;-8.916265872879959586e-02;1.328057015287556208e-01
-1.796542546869965562e-01;3.045784523300144597e-01;3.473150851086889701e-01;1.139665928865904593e-01;3.829378660749256924e-01
-1.066119437911839524e-01;7.712546261737980302e-01;7.299349315196915766e-01;6.854344946617130230e-01;6.072769721801591913e-01
-1.423046791294362290e-01;8.395353919472712256e-01;3.966560117542157204e-01;0.000000000000000000e+00;5.879855520369106081e-01
-4.061020046776446513e-02;5.573413192364504720e-01;4.239502042007191052e-01;-5.000000000000000000e-01;7.459754858854465986e-01
2.353967043650942725e-01;6.134584354914219828e-01;4.771460200532159357e-01;2.770545783989261657e-01;3.828641053186598309e-01
1.885403254816327145e-01;2.700971773388751718e-01;2.883794987137951460e-01;0.000000000000000000e+00;1.990865674833438848e-01
-3.263053763541980817e-02;3.780714447461523964e-01;1.529007356777720705e-01;0.000000000000000000e+00;3.033199896991045641e-01
1.567989223050400838e-01;3.703456573368832938e-01;5.942812299095161510e-01;2.870699578156984261e-02;6.272988832376911184e-01
-2.306622120114578886e-02;5.517269578475441083e-01;6.570439265075403990e-01;4.323053768129283547e-01;2.628328905076488531e-01
-9.813571362917608565e-02;6.902184430626009393e-01;3.819354790581467873e-01;1.786151387625938003e-01;5.624176381799034230e-01
-8.259813216666660185e-02;2.344328682360466154e-01;2.974928587954918657e-01;3.512553723881091383e-02;3.985579025916597962e-01
6.822825536412502334e-02;2.650245305063290147e-01;4.922862202937021148e-01;-1.553182455025346465e-01;2.825341484446736162e-01
5.967906558813652201e-02;2.849202927791749107e-01;1.434520887353510354e-01;4.484376494148247794e-01;3.709394470200304550e-01
-4.819292276496265487e-02;5.936454170444328549e-01;5.478298189433025156e-01;2.672317537835365853e-01;4.098440349578291730e-01
-9.206797101070118838e-02;6.775338888586048824e-01;4.839862689831285758e-01;2.340813376243142119e-02;4.194771699613843996e-01
-5.944093036873999286e-02;2.063513813783419137e-01;-3.003987138591461548e-02;2.180459131139814710e-01;1.702196182203762759e-02
1.596986703229350546e-01;4.508416694427076488e-01;2.109131938610891432e-01;2.577343398831157262e-01;5.577097366320388216e-01
5.737654907792066189e-02;4.230210737029297396e-01;2.317076542380129278e-01;3.916151117416578065e-01;2.893676285024180395e-01
2.065550717737861877e-02;2.309941047392949087e-01;2.187581980169016060e-01;2.314785838891292025e-01;5.503847191279076512e-01
-9.068431119976304300e-02;4.371177723621195166e-01;4.077485349285295269e-01;4.487743242734397731e-01;1.396418314458038046e-01
-1.261785068988076075e-01;4.078743544031891988e-01;1.883338500897000500e-01;8.404786887608287071e-02;6.539463354717548471e-01
-3.730808853378629608e-02;5.414145447265006350e-01;6.640938399270938097e-01;9.310815461054271214e-02;5.283381427320636980e-01
-1.199935806635276797e-01;6.362987644164483925e-01;4.372327333338268396e-01;3.201510220123838235e-01;3.641847283678135150e-01
-1.074448748339456583e-01;6.891613842297679149e-01;5.804080669309432672e-01;4.572479855361372830e-02;6.269228540984443931e-01
2.171385194537979804e-02;4.270259875212106260e-01;2.498081307906717397e-01;7.921220941204815125e-01;3.879855467772189703e-01
2.142983611843351371e-02;2.903909485689715742e-01;5.497801489741801495e-01;0.000000000000000000e+00;7.934002579678173239e-02
-1.272843034757603908e-01;6.823495563433201738e-01;7.435221663450972684e-01;0.000000000000000000e+00;5.862419006857073622e-01
-6.141746756938632618e-02;5.303763897216747791e-01;3.173098694395709574e-01;5.891549886004641134e-01;6.378000699475349089e-01
-7.160752377517237699e-02;-1.813060850294144766e-01;4.931137579517970715e-01;2.930628814104085378e-01;6.630126820500688023e-01
-9.385657053599950894e-02;1.424688122523878331e-01;6.769323452059032575e-02;3.248480573218661127e-01;2.817229222435178038e-01
-1.045540826188311734e-01;5.609741061444418753e-01;3.687560840110648552e-01;1.462681428845938880e-01;6.424837229763707969e-01
-1.155861037420812948e-01;3.183260739301342346e-01;7.736323175109915962e-01;0.000000000000000000e+00;6.353419699403084486e-01
1.580354631407017429e-01;6.656553815250387807e-01;6.099962857160197149e-01;1.087173565129076341e-01;4.350456961761420827e-01
-2.069611490229608941e-01;3.204260178950750770e-01;1.344008389689277605e+00;1.951032528306196126e-02;6.589648753754373534e-01
5.789168541351966818e-02;2.717027056469610846e-01;4.458718115633069079e-01;3.841176708713693322e-01;1.760027480819900958e-01
1.509172332063113131e-01;1.228669759627102120e+00;1.063337874977415609e+00;1.085738415849906713e-01;6.225703764339064472e-01
-6.671285493948593548e-02;5.463807688418685915e-01;2.546231307513347475e-01;5.753177973777595655e-01;2.537165122904366799e-01
5.030336964664085253e-02;2.947164933554141109e-01;3.753198999679922543e-01;1.650320682253127724e-01;3.260557926811558649e-01
1.258578584672632728e-01;4.503630177019694036e-01;5.710308031006282592e-01;-1.638417990826146198e-01;7.757045805283761808e-02
2.701884867936799051e-02;3.562522499163892631e-01;3.965724125260625121e-01;4.525527832665061645e-01;2.948731274054579576e-01
1.314759842443895821e-01;8.113572193152366330e-01;1.033119368262968685e+00;1.033443104871752949e+00;5.099365425945839858e-01
1.372811297906166017e-01;2.462312336167796767e-01;3.710426254383074329e-02;2.783228825194689615e-01;7.006046415032873018e-04
-1.142965797213577467e-01;4.438295087757057056e-01;1.568486241932629532e-01;3.307964363613760672e-01;4.522656053583860025e-01
-3.972297118970433139e-02;4.644159638635322884e-01;5.773685794115108738e-01;6.445625374517585104e-01;3.916138130050751398e-01
1.516596105387285273e-02;4.184721915060949371e-01;1.344085484184475987e-01;1.663659174236985575e-03;9.688535745746947037e-02
-1.631474514388101815e-01;3.336776523083924140e-01;2.030008993571144615e-01;5.361778750645923575e-01;3.025688007503736787e-01
-8.476101418331330462e-02;5.381748013745265569e-01;2.261488483255818249e-01;3.226113190307753897e-01;1.225241077613346968e-01
-1.071623680539495610e-01;6.678899213989492045e-01;3.495293563861486263e-01;5.631600731012198491e-01;7.725355431139375728e-01
-8.066847692141328185e-02;7.324864251816423089e-01;7.092368114537334067e-01;4.439592747052319432e-01;4.953315321900439439e-01
1.362777574259566027e-02;9.051257291000899263e-01;8.246841482201192619e-01;2.082694363112781721e-01;2.923253168941290503e-01
-9.202771751541025114e-02;1.002226199969473042e+00;8.774479240069555930e-01;0.000000000000000000e+00;7.702706256681394192e-01
1.210958070708272605e-01;1.474673318602495731e-01;4.536186413152385466e-01;9.845401197646442837e-01;2.568435142305002250e-01
5.417278683357223262e-02;8.076996809492849039e-01;5.609829400112866793e-01;3.725674676750126424e-01;-1.462056389079219032e-01
5.839104001257190701e-02;1.070265318668355503e+00;6.343811892853096213e-01;1.377982506254268324e+00;4.325189044362765523e-01
7.382154550778784186e-02;5.020705116349573061e-01;7.696451175675103062e-01;7.670385151485594744e-01;4.495544272265957764e-01
-1.802903537595349492e-01;7.260970534788878661e-01;7.021839876533425562e-01;2.027834594351135278e-01;3.108355170741647355e-01
-1.710246649834347779e-02;6.633285506012174260e-01;6.515117943308710302e-01;5.231539645341497513e-01;4.098174428284027115e-01
9.085637019921805058e-02;4.461365570402923697e-01;7.829414316846159405e-01;0.000000000000000000e+00;6.940067409583925429e-01
6.488258418253252391e-02;7.939402087010201114e-01;8.554738428674810713e-01;7.397716577678141725e-01;2.459484884997715226e-01
-1.403302732735304259e-01;5.114428686706229410e-01;9.337534743286622918e-01;1.994467254276363066e-01;3.280761624904420803e-01
9.841606156919248394e-02;5.584195878656823819e-02;3.560319611338416679e-01;3.900202449707799168e-01;3.622110103425373318e-01
